,Suburb,Address,Type,Method,SellerG,CouncilArea,Regionname,Rooms,Price,Distance,Postcode,Bedrooms,Bathroom,Car,Landsize,main_lat,main_lon,Propertycount,Sold_Month,Sold_Year,station,metro_lat,metro_lon,Distance_to_Station
0,Abbotsford,85 Turner St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1480000.0,2.5,3067.0,2.0,1.0,1.0,202.0,-37.7996,144.9984,4019.0,12.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.3517
1,Abbotsford,25 Bloomburg St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1035000.0,2.5,3067.0,2.0,1.0,0.0,156.0,-37.8079,144.9934,4019.0,2.0,2016.0,North Richmond,-37.81007599999998,144.99255600000004,0.2531
2,Abbotsford,5 Charles St,h,SP,Biggin,Yarra City Council,Northern Metropolitan,3,1465000.0,2.5,3067.0,3.0,2.0,0.0,134.0,-37.8093,144.9944,4019.0,3.0,2017.0,North Richmond,-37.81007599999998,144.99255600000004,0.1835
3,Abbotsford,40 Federation La,h,PI,Biggin,Yarra City Council,Northern Metropolitan,3,850000.0,2.5,3067.0,3.0,2.0,1.0,94.0,-37.7969,144.9969,4019.0,3.0,2017.0,Victoria Park,-37.79938099999998,144.99440700000002,0.3523
4,Abbotsford,55a Park St,h,VB,Nelson,Yarra City Council,Northern Metropolitan,4,1600000.0,2.5,3067.0,3.0,1.0,2.0,120.0,-37.8072,144.9941,4019.0,6.0,2016.0,Collingwood,-37.80454299999997,144.993743,0.2971
5,Abbotsford,129 Charles St,h,S,Jellis,Yarra City Council,Northern Metropolitan,2,941000.0,2.5,3067.0,2.0,1.0,0.0,181.0,-37.8041,144.9953,4019.0,5.0,2016.0,Collingwood,-37.80454299999997,144.993743,0.1454
6,Abbotsford,124 Yarra St,h,S,Nelson,Yarra City Council,Northern Metropolitan,3,1876000.0,2.5,3067.0,4.0,2.0,0.0,245.0,-37.8024,144.9993,4019.0,5.0,2016.0,Collingwood,-37.80454299999997,144.993743,0.5433
7,Abbotsford,98 Charles St,h,S,Nelson,Yarra City Council,Northern Metropolitan,2,1636000.0,2.5,3067.0,2.0,1.0,2.0,256.0,-37.806,144.9954,4019.0,10.0,2016.0,Collingwood,-37.80454299999997,144.993743,0.2178
8,Abbotsford,10 Valiant St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1097000.0,2.5,3067.0,3.0,1.0,2.0,220.0,-37.801,144.9989,4019.0,10.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.4339
9,Abbotsford,40 Nicholson St,h,VB,Nelson,Yarra City Council,Northern Metropolitan,3,1350000.0,2.5,3067.0,3.0,2.0,2.0,214.0,-37.8085,144.9964,4019.0,11.0,2016.0,North Richmond,-37.81007599999998,144.99255600000004,0.3805
10,Abbotsford,45 William St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1172500.0,2.5,3067.0,2.0,1.0,1.0,195.0,-37.8084,144.9973,4019.0,8.0,2016.0,North Richmond,-37.81007599999998,144.99255600000004,0.4565
11,Abbotsford,16 William St,h,S,Jellis,Yarra City Council,Northern Metropolitan,2,1310000.0,2.5,3067.0,2.0,1.0,2.0,238.0,-37.809,144.9976,4019.0,10.0,2016.0,North Richmond,-37.81007599999998,144.99255600000004,0.459
12,Abbotsford,42 Henry St,h,S,Jellis,Yarra City Council,Northern Metropolitan,3,1200000.0,2.5,3067.0,3.0,2.0,1.0,113.0,-37.8056,144.993,4019.0,7.0,2016.0,Collingwood,-37.80454299999997,144.993743,0.1344
13,Abbotsford,78 Yarra St,h,S,LITTLE,Yarra City Council,Northern Metropolitan,3,1176500.0,2.5,3067.0,2.0,1.0,1.0,138.0,-37.8021,144.9965,4019.0,7.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.3539
14,Abbotsford,196 Nicholson St,h,S,Collins,Yarra City Council,Northern Metropolitan,3,955000.0,2.5,3067.0,3.0,1.0,0.0,183.0,-37.8022,144.9975,4019.0,9.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.4149
15,Abbotsford,42 Valiant St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,890000.0,2.5,3067.0,2.0,1.0,1.0,150.0,-37.8011,145.0004,4019.0,9.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.5602
16,Abbotsford,3/72 Charles St,h,PI,Kay,Yarra City Council,Northern Metropolitan,4,1330000.0,2.5,3067.0,4.0,2.0,2.0,780.0,-37.8073,144.9952,4019.0,3.0,2017.0,Collingwood,-37.80454299999997,144.993743,0.3322
17,Abbotsford,138/56 Nicholson St,u,S,Jellis,Yarra City Council,Northern Metropolitan,3,1090000.0,2.5,3067.0,3.0,2.0,2.0,4290.0,-37.8078,144.9965,4019.0,3.0,2017.0,North Richmond,-37.81007599999998,144.99255600000004,0.4291
18,Abbotsford,52a William St,h,PI,Biggin,Yarra City Council,Northern Metropolitan,2,1100000.0,2.5,3067.0,2.0,2.0,1.0,124.0,-37.8079,144.9977,4019.0,6.0,2016.0,Collingwood,-37.80454299999997,144.993743,0.5101
19,Abbotsford,49 Park St,h,S,Marshall,Yarra City Council,Northern Metropolitan,2,1315000.0,2.5,3067.0,2.0,1.0,0.0,147.0,-37.808,144.994,4019.0,11.0,2016.0,North Richmond,-37.81007599999998,144.99255600000004,0.2634
20,Abbotsford,48 Abbotsford St,h,PI,Nelson,Yarra City Council,Northern Metropolitan,3,1447500.0,2.5,3067.0,3.0,3.0,1.0,166.0,-37.8017,145.0001,4019.0,8.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.5627
21,Abbotsford,159 Park St,h,S,Nelson,Yarra City Council,Northern Metropolitan,2,1135000.0,2.5,3067.0,2.0,2.0,2.0,98.0,-37.8005,144.9952,4019.0,8.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.1426
22,Abbotsford,166 Gipps St,h,S,Biggin,Yarra City Council,Northern Metropolitan,3,1290000.0,2.5,3067.0,3.0,2.0,2.0,147.0,-37.805,144.9943,4019.0,2.0,2017.0,Collingwood,-37.80454299999997,144.993743,0.0705
23,Abbotsford,60 Stafford St,h,S,Biggin,Yarra City Council,Northern Metropolitan,3,1290000.0,2.5,3067.0,3.0,1.0,1.0,168.0,-37.8007,144.9958,4019.0,2.0,2017.0,Victoria Park,-37.79938099999998,144.99440700000002,0.191
24,Abbotsford,47 Studley St,h,S,Jellis,Yarra City Council,Northern Metropolitan,2,1180000.0,2.5,3067.0,2.0,1.0,0.0,162.0,-37.8016,144.9956,4019.0,11.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.2681
25,Abbotsford,45 Yarra St,h,SP,Jellis,Yarra City Council,Northern Metropolitan,3,1195000.0,2.5,3067.0,3.0,2.0,1.0,120.0,-37.8022,144.9954,4019.0,11.0,2016.0,Collingwood,-37.80454299999997,144.993743,0.2984
26,Abbotsford,200 Nicholson St,h,S,Nelson,Yarra City Council,Northern Metropolitan,2,1012500.0,2.5,3067.0,2.0,1.0,0.0,182.0,-37.8021,144.9976,4019.0,5.0,2016.0,Victoria Park,-37.79938099999998,144.99440700000002,0.4124
27,Abbotsford,27 Charles St,h,S,Biggin,Yarra City Council,Northern Metropolitan,2,1030000.0,2.5,3067.0,2.0,1.0,1.0,172.0,-37.8086,144.9946,4019.0,7.0,2016.0,North Richmond,-37.81007599999998,144.99255600000004,0.2433
28,Airport West,154 Halsey Rd,t,PI,Nelson,Moonee Valley City Council,Western Metropolitan,3,840000.0,13.5,3042.0,3.0,2.0,1.0,303.0,-37.718,144.878,3464.0,9.0,2016.0,Glenroy,-37.704638999999986,144.91724599999998,3.7584
29,Airport West,23 Hart St,h,S,Nelson,Moonee Valley City Council,Western Metropolitan,2,603000.0,13.5,3042.0,2.0,1.0,1.0,272.0,-37.7294,144.888,3464.0,3.0,2017.0,Oak Park,-37.718046999999956,144.92153500000006,3.2083
30,Airport West,1/80 Hawker St,t,S,Brad,Moonee Valley City Council,Western Metropolitan,3,700000.0,13.5,3042.0,3.0,2.0,2.0,239.0,-37.7218,144.8837,3464.0,3.0,2017.0,Oak Park,-37.718046999999956,144.92153500000006,3.3539
31,Airport West,1/37 Hillside Gr,h,S,Maddison,Moonee Valley City Council,Western Metropolitan,3,600000.0,13.5,3042.0,2.0,1.0,1.0,290.0,-37.7273,144.8744,3464.0,3.0,2017.0,Oak Park,-37.718046999999956,144.92153500000006,4.2714
